ID,Type,Title,Epic,Release,Module,Labels,Sprint Refs,Description
AUTH,Epic,Identity & sessions,,R1,auth,"auth,security",BF-030,"Login, rotating refresh sessions, password reset/activation, impersonation with audit. Detail: docs/auth/user-stories.md E1–E3. Folds BF-030 (password rules shown up-front, special chars)."
TEN,Epic,Tenancy & profiles,,R1,tenancy,"tenancy",BF-045,"Profiles + satellites, profile switching, business identity/timezone/address. Detail: docs/settings/user-stories.md E1–E2, E8. Folds BF-045 (zipcode input bug)."
TEAM,Epic,Teams & per-profile roles,,R2,tenancy,"tenancy,rbac,net-new",BF-023,"Net-new (v1 Teams tab was a stub). Invites, accept flow, member management, role enforcement (owner/admin/member). Stories TEAM-1.1–1.5 in docs/foundation/04-epics-and-stories.md."
BILL,Epic,"Billing, plans & entitlements",,R2,billing,"billing,net-new",,"Net-new (v1 Gold/Platinum was hardcoded UI text). Stripe Billing, plan catalog, entitlement gating, dunning, staff overrides. Stories BILL-1.1–1.5."
ONBD,Epic,Onboarding wizard (real backend),,R3,tenancy,"onboarding,net-new",,"Net-new (v1 wizard was an unwired mockup). Resumable setup state, company/questionnaire/team/accounts/automation steps, default content seeding. Stories ONBD-1.1–1.7."
CONT,Epic,Contacts,,R1,contacts,"contacts",BF-015 BF-024 BF-050 BF-014 BF-012 BF-037,"Address book: list/create/edit, tags, lifecycle, activity timeline, CSV import (async, per-row outcomes), export, auto-activation. Detail: docs/contacts/user-stories.md E1–E7."
REV,Epic,Reviews feed & sharing,,R1,reviews,"reviews",BF-026 BF-025 BF-035 BF-036 BF-004 BF-049 BF-048 BF-006 BF-042,"Unified review feed, manual add, reply, branded review-image render, share/schedule, auto-share config with threshold + template round-robin, calendar. Detail: docs/reviews/user-stories.md R1–R6."
FUN,Epic,Design & funnel,,R1,funnel,"funnel",BF-002 BF-003 BF-028,"Funnel editors (canonical — reviews F1/F2/P1 are summaries), platform-link manager, public funnel SSR. Detail: docs/design-funnel/user-stories.md D1–D3."
MEDIA,Epic,Media library,,R1,media,"media",,"S3 presigned upload, reference-counted usage, reference-aware delete. Detail: docs/media/user-stories.md M1–M4."
CAMP,Epic,Campaigns & eligibility engine,,R2,campaigns,"campaigns,send-pipeline",BF-038 BF-027 BF-007 BF-010,"Email/SMS invite campaigns, single derived eligibility engine (fixes v1 activator/reconcile split-brain), editor, stats on read models, drip presets. Detail: docs/campaigns/user-stories.md C1–C6."
MSG,Epic,Connect messaging & calls,,R2,messaging,"messaging,sms",BF-022 BF-031,"Two-way SMS inbox (SSE real-time), broadcast, scheduled messages, keyword auto-responder, calls/forwarding, number provisioning. Detail: docs/messaging/user-stories.md M1–M7."
CMPL,Epic,Twilio A2P + TFV + consent pages,,R2,compliance,"compliance,sms",,"A2P 10DLC wizard, toll-free verification (Twilio Embeddable per AD-15, stories TFV-1.1–1.6), public unsubscribe + FB data-deletion pages. Detail: docs/compliance/user-stories.md E1–E6."
SOC,Epic,Social publishing & planner,,R3,social,"social",BF-044 BF-043 BF-041,"Composer, timeline, retry/edit/delete posts, testimonial sharing, content planner (single campaign engine), insights. Detail: docs/social/user-stories.md."
SUR,Epic,Surveys,,R3,surveys,"surveys",BF-009 BF-008 BF-040 BF-011 BF-039,"Builder, public taking page, results/export, prebuilt templates, completion notifications (exactly-once, resilient). Detail: docs/surveys/user-stories.md E1–E5."
WID,Epic,Widgets,,R3,widgets,"widgets",,"7 widget types as iframe SSR embeds, typed jsonb config (off profile), chat lead capture. Detail: docs/widgets/user-stories.md E1–E6."
ANLY,Epic,Analytics & dashboard,,R3,analytics,"analytics,read-only",BF-013 BF-032 BF-029 BF-010,"Dashboard tabs on denormalized read models (replica-ready), GBP insights, keywords, targets, nav badges. Detail: docs/analytics/user-stories.md."
INT,Epic,"Integrations, OAuth vault & webhooks",,R2,integrations,"integrations,security",BF-046,"Provider gateways + error taxonomy, AES-GCM token vault, connect/disconnect lifecycle with grace-period cascade, verified webhooks. Detail: docs/integrations/user-stories.md E1–E5."
PLAT,Epic,New review platforms,,R4,integrations,"integrations,net-new,feasibility-gated",BF-016 BF-017 BF-018 BF-019 BF-020 BF-021 BF-034,"WeddingWire, The Knot, Houzz (wave 1); RateMyAgent, Avvo, Homes/Angie, Redfin (wave 2). Each gated by PLAT-0.1 API feasibility spike. Stories PLAT-0.1–1.4."
AI,Epic,AI template & content generation,,R4,reviews,"ai,net-new",BF-005 BF-047,"Custom review templates, AI-generated share copy (quota-gated entitlement), real AI-usage metric. Stories AI-1.1–1.3."
NOTIF,Epic,Notifications hub,,R2,notifications,"notifications,net-new",BF-032 BF-011,"Net-new module consolidating prefs, event fan-out, nav badges, push devices, and the delivery ledger (PF-6). Stories NOTIF-1.1–1.4."
ADMIN,Epic,Back office,,R2,admin,"admin",,"Staff console: users, profiles, templates, push campaigns, deletion queue, referrals directory. Detail: docs/admin/user-stories.md A1–A12."
HELP,Epic,Support & tutorials,,R3,support,"support,content",BF-001 BF-033 TU-001–TU-021,"Help center + tutorial catalog with categories/search, contextual prompts; TU-001–021 video content production. Detail: docs/support + docs/tutorials user-stories."
REF,Epic,Referral program,,R4,tenancy,"referrals",,"Operator referral settings + admin directory. Detail: docs/referrals/user-stories.md RF1–RF2."
TEAM-1.1,Story,Invite a teammate,TEAM,R2,tenancy,"tenancy,rbac",,"Owner invites by email with role (admin|member); pending membership + 7-day token; re-invite replaces token; ledger row per invite email."
TEAM-1.2,Story,Accept an invite,TEAM,R2,tenancy,"tenancy",,"Invite link walks Visitor to working portal; expired/used tokens show distinct states; profile appears in switcher on accept."
TEAM-1.3,Story,Manage members,TEAM,R2,tenancy,"tenancy,rbac",,"List members, change roles, remove. Cannot demote/remove last owner; removal revokes sessions for the profile; guards read DB not JWT claims."
TEAM-1.4,Story,Role enforcement,TEAM,R2,tenancy,"rbac,security",,"member role cannot perform admin-only actions (billing, team mgmt, profile delete, Connect activation); server-enforced; UI hides what API forbids."
TEAM-1.5,Story,Reps can activate Connect,TEAM,R2,tenancy,"rbac",BF-023,"Profile admin (non-owner) can complete Connect/SMS activation; gated by role + entitlement, not owner-ness."
BILL-1.1,Story,Plan catalog,BILL,R2,billing,"billing",,"Staff-Admin defines plans (price, entitlement set, limits) synced to Stripe Products/Prices; plans versioned."
BILL-1.2,Story,Subscribe / upgrade / downgrade,BILL,R2,billing,"billing",,"Owner picks plan via Stripe Checkout/Billing portal; entitlements update ≤1min after webhook; downgrades at period end; all transitions recorded (plan-change history)."
BILL-1.3,Story,Entitlement gating,BILL,R2,billing,"billing,security",,"@RequireEntitlement guard on routes + worker-side check before spending provider money; over-limit SMS queued-not-dropped with upgrade prompt."
BILL-1.4,Story,Dunning & suspension,BILL,R2,billing,"billing",,"Payment failure → Stripe smart retries → grace state → feature suspension; data never deleted."
BILL-1.5,Story,Staff override,BILL,R2,billing,"billing,admin",,"Staff-Manager+ grants comp/trial entitlements with reason + expiry, audited. Replaces v1 manual flag-flipping."
ONBD-1.1,Story,Resumable setup state,ONBD,R3,tenancy,"onboarding",,"profile_onboarding row (step, answers jsonb); partial answers saved per step; completion stops re-prompting."
ONBD-1.2,Story,Company details step,ONBD,R3,tenancy,"onboarding",,"Writes real profiles + satellite fields; address triggers timezone resolution (PF-3)."
ONBD-1.3,Story,Questionnaire step,ONBD,R3,tenancy,"onboarding",,"Persists answers; selected goals map to recommended feature checklists on dashboard."
ONBD-1.4,Story,Team step,ONBD,R3,tenancy,"onboarding",,"Reuses TEAM-1.1 invites inside the wizard."
ONBD-1.5,Story,Connect-accounts step,ONBD,R3,tenancy,"onboarding",,"Reuses INT OAuth flows with inline connect state."
ONBD-1.6,Story,Automation step,ONBD,R3,tenancy,"onboarding",,"Configures auto-activation + default campaign activation with plain-language copy of what will send (BF-037 confusion prevention)."
ONBD-1.7,Story,Default content seeding,ONBD,R3,tenancy,"onboarding",,"On profile creation seed default campaigns (Initial/Follow-up/Final email + SMS), funnel design, messaging settings — in DB, idempotently."
TFV-1.1,Story,Start verification,CMPL,R2,compliance,"sms,compliance",,"Eligible + feature-flagged Owner starts TFV; API initializes inquiry → inquiry_id + session token; ineligible profiles never see entry point."
TFV-1.2,Story,Resume verification,CMPL,R2,compliance,"sms,compliance",,"Owner resumes a started verification where they left off (session token re-issued)."
TFV-1.3,Story,Status tracking,CMPL,R2,compliance,"sms,compliance",,"Normalized status draft→submitted→needs_correction→approved|rejected with history; webhook is a hint, reconciling poll job is truth."
TFV-1.4,Story,Correct & resubmit,CMPL,R2,compliance,"sms,compliance",,"Owner sees rejection reasons and re-enters the embedded form to fix them."
TFV-1.5,Story,Admin TFV panel,CMPL,R2,compliance,"admin,compliance",,"Staff views any profile's TFV state, assigns toll-free number pre-verification, triggers manual sync, sees rejection/status history."
TFV-1.6,Story,Sender activation,CMPL,R2,compliance,"sms,compliance",,"Toll-free sending enabled only when approved + number assigned; deactivation always resets local state even if Twilio-side cleanup fails (v1 subaccount deadlock fix)."
NOTIF-1.1,Story,Notification preferences,NOTIF,R2,notifications,"notifications",,"Per-profile recipients/channels per event type (new review, negative review, survey completed, failed post, inbound SMS); push devices server-registered."
NOTIF-1.2,Story,Event fan-out,NOTIF,R2,notifications,"notifications",,"Domain events fan out to subscribed channels through the send pipeline with a ledger row each; failed channel never blocks others (PF-7)."
NOTIF-1.3,Story,Nav badges,NOTIF,R2,notifications,"notifications",BF-032,"Per-tab attention counts + profile-switcher totals; single polling interval torn down on unmount (regression test)."
NOTIF-1.4,Story,Delivery visibility,NOTIF,R2,notifications,"notifications,admin",,"Staff-Support answers 'did profile X get their notification and why not' from the admin ledger view in one lookup."
PLAT-0.1,Story,API feasibility spike (per platform),PLAT,R4,integrations,"spike,feasibility-gated",,"Written finding per platform: official API / partner program / compliant scrape / not feasible — with rate limits, auth model, field coverage. Gates all other PLAT stories."
PLAT-1.1,Story,Connect platform account,PLAT,R4,integrations,"integrations",,"Operator connects/disconnects platform X through the standard INT lifecycle (PF-5/PF-8)."
PLAT-1.2,Story,Pull reviews,PLAT,R4,integrations,"integrations,reviews",,"System pulls on cadence into the unified feed; dedupe by provider review id."
PLAT-1.3,Story,Feed parity,PLAT,R4,reviews,"reviews",BF-042,"Reviews from X filter/search/share like any source; manual-add platform list includes X (generalizes the GigSalad ask)."
PLAT-1.4,Story,Funnel link,PLAT,R4,funnel,"funnel",,"Platform X joins the funnel platform catalog (FUN links)."
AI-1.1,Story,Custom review templates,AI,R4,reviews,"ai,reviews",BF-005 BF-047 BF-048,"Operator creates own share templates alongside stock; auto-share round-robin draws from selected set; templates are versioned media assets rendered by the render worker."
AI-1.2,Story,AI-generated share copy,AI,R4,reviews,"ai",,"Generated post text per review (tone presets, edit-before-post always); provider behind a gateway; per-profile monthly quota (entitlement); nothing auto-publishes outside existing approval path."
AI-1.3,Story,AI usage metric,AI,R4,analytics,"ai,analytics",,"Dashboard 'AI Used' reads a real counter (v1 hardcoded 0%)."
